id,제품명,제품회사,분류,성분,효능,용법,저장방법
10,  마데카솔분말(센텔라정량추출물)  ,  동국제약(주)  ,19931216,   센텔라정량추출물  ,"  상처, 피부궤양의 보조적 부분 치료  ","  (연고제)(크림제)1일 1～2회 질환 부위에 적용한다. 권장 용량을 초과하지 않는다.(첩부제)적용 전 질환 부위를 청결히 하고 소독한 후 매일 적용한다.(분말제)질환 부위에 1일 1～2회 적량 적용한다.(정제) 성인 : 최초 1일 3회 1회 2정, 유지량으로 1일 3회 1회 1정 식사와 함께 복용한다. 소아(30개월 이상) : 1일 1～3정 복용한다.  ","  밀폐용기, 실온보관(1~30℃)  "
11,  복합마데카솔연고(수출명:복합리포솔연고)  ,  동국제약(주)  ,19931216,"   네오마이신황산염, 센텔라정량추출물, 히드로코르티손아세테이트  ","  네오마이신 감수성 세균에 의해 2차 감염된 코르티코이드 반응성 피부질환의 초기 치료 : 피부염, 감염된 상처  ",  1일 1～2회 적당량을 환부에 바른다.  ,"  기밀용기, 실온보관  "
12,  위튼겔(보에마이트)  ,  삼진제약(주)  ,19931216,   보에마이트  ,"  다음 질환의 제산작용 및 증상의 개선 : 위.십이지장궤양, 위염, 위산과다  ","  성인 : 산화알루미늄으로서 1회 1.212g 1일 3회 식간에 경구 투여한다.연령, 증상에 따라 적절히 증감한다.  ","  기밀용기, 실온보관  "
13,"  디아민정(글리클라짓)(수출명:BeeDiaminTablet,Meracron 80mg Tab)  ",  한국휴텍스제약(주)  ,  전문의약품  ,   글리클라짓  ,"  제 2형 당뇨병(식사요법, 운동요법으로 충분한 효과를 얻을 수 없는 경우에 한함.)  ","  (정제)(캡슐제)성인 : 글리클라짓으로서 1일 40~80mg으로 시작하며, 1일 1~2회 경구투여한다. 이후 환자의 혈당량을 최적으로 조절하기 위해서는 상태에 따라 1일 최고 320mg까지 2회로 나누어 투여할 수 있다. 1회 투여 시 160mg을 초과하여서는 안 된다. 투여 용량은 반드시 환자의 상태에 따라 조절되어야 한다. 비만환자 또는 이 약 투여만으로 적절한 반응을 나타내지 않는 환자의 경우 부가적인 치료가 요구될 수 있다.(서방정)성인 : 글리클라짓으로서 1일 1회 30~120mg을 혈당치에 따라 용량을 조절하여 아침에 경구투여 한다.약물복용을 잊은 경우라도, 다음날의 복용량을 증량하지 않는다.다른 혈당강하제와 같이 복용하는 경우에는 환자개인의 대사반응(혈당, 당화 혈색소)에 따라 용량을 조절해야 한다.* 초기용량초기추천용량은 1일 30mg이다. 혈당조절이 만족스럽다면, 이 용량을 유지용량으로 투여한다. 혈당조절이 만족스럽지 않다면, 적어도 1개월 간격으로 1일 60, 90, 120mg으로 점차적으로 증량할 수 있다. 약물투여 15일 이후에도 혈당이 감소하지 않는다면, 약물투여 2주째 말부터 용량을 증량시킨다. 1일 최대 120mg을 초과해서는 안 된다.* 글리클라짓 80mg에서 글리클라짓 서방정 30mg으로 대체투여하는 경우 글리클라짓 80mg에 안정화되어 있는 환자인 경우에는 글리클라짓 80mg=글리클라짓 서방정 30mg이라는 원칙하에 약물을 투여한다.* 다른 경구혈당강하제에서 글리클라짓 서방정 30mg으로 대체투여하는 경우 이전 혈당강하제의 용량 및 반감기를 고려해야 한다. 일반적으로는 어떠한 과도기적 휴약기간 없이 대체투여가 가능하므로, 1일 이 약 30mg으로 시작하여 각 환자의 대사반응에 따라 초기용량부분에서 언급한 대로 점차적으로 증량하면서 용량을 증량시킨다.반감기가 긴 설폰요소계 혈당강하제로부터 대체하는 환자의 경우에는 두 약물의 부가적 영향으로 인한 저혈당의 위험을 방지하기 위해 수일간의 휴약기간이 필요하다.* 다른 경구혈당강하제와의 병용투여이 약은 비구아니드계, α글리코시다제 저해제 또는 인슐린과 병용투여가 가능하다.* 65세 이상 환자 및 신부전 환자이 약은 65세 이하 및 정상적 신장기능을 가진 환자에서의 투여방법과 동일하게 처방 될 수 있다.* 저혈당 위험이 있는 환자 저영양 또는 영양실조 상태 중증 또는 중등도의 대상성 내분비질환(뇌하수체전엽 기능부전, 갑상선저하, 코르티코트로핀 기능부전) 장기간 및/또는 고용량의 코르티코이드 요법의 중단 중증의 혈관질환(중증의 관상성 심장질환, 중증의 경동맥질환, 산재성 혈관질환)→ 1일 최소용량 30mg으로 투여개시 할 것을 추천한다.  ",  DUR성분(성분1/성분2.. 병용성분 )글리클라지드 미코나졸   
14,  세타신캅셀(아세메타신)(수출명:보리센신(BORISENCIN)캅셀)  ,  한국휴텍스제약(주)  ,  전문의약품  ,   아세메타신  ,"  류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 통풍, 건염,  ","  성인 : 아세메타신으로서 1회 3060mg 1일 13회 경구투여한다.연령, 질환, 증상에 따라 적절히 증감한다.  ","  기밀용기, 실온보관  "
15,  엘라딘연질캡슐(수출명:HUTELADIN SOFT CAPSULE)  ,  한국휴텍스제약(주)  ,  일반의약품  ,"   L시스테인, 판토텐산칼슘, 피리독신염산염, 니코틴산아미드, 리보플라빈부티레이트, 아스코르브산, d비오틴, 오로트산수화물  ","  8세 이상 어린이 및 성인 : 1일 2회, 1회 1캡슐  ","  8세 이상 어린이 및 성인 : 1일 2회, 1회 1캡슐  ",  DUR성분(성분1/성분2.. 병용성분 )대두유  
16,  바난정(세프포독심프록세틸)  ,  에이치케이이노엔(주)  ,  전문의약품  ,   세프포독심프록세틸  ,"  포도구균, 연쇄구균, 폐렴연쇄구균, 임균, 펩토연쇄구균, 모락셀라 카타랄리스, 대장균, 시트로박터, 클레브시엘라, 엔테로박터, 프로테우스(프로테우스 미라빌리스, 프로테우스 불가리스, 프로비덴시아 레트게리, 프로비덴시아 인콘스탄스), 인플루엔자균  ","  (정제) 성인 : 세프포독심으로서 1회 100mg(역가)을 1일 2회 식후 경구 투여한다. 중증 또는 효과가 불충분하다고 판단되는 경우에는 1회 200mg(역가)을 1일 2회 식후 경구 투여한다.연령, 증상 등에 따라 적절히 증감한다.(건조시럽제) 유ㆍ소아 : 세프포독심으로서 1회 체중 Kg당 3mg(역가), 1일 2～3회, 사용시 현탁하여 경구 투여한다. 중증 또는 효과가 불충분하다고 사료되는 증례에 대해서는 1회 체중 Kg당 4.5mg(역가)을 1일 3회 경구투여한다.연령, 증상 등에 따라 적절히 증감한다.  ",  DUR성분(성분1/성분2.. 병용성분 )유당  
17,  메바로친정10밀리그램(프라바스타틴나트륨)  ,  에이치케이이노엔(주)  ,  전문의약품  ,   프라바스타틴나트륨  ,  ◎ 식이요법에도 불구하고 LDL수치가 지속적으로 155㎎/㎗(4mmol/l)이상이면서 다음 증상 중 하나 이상을 나타내는 4554세사이의 남성  ," 치료를 시작하기 전에, 환자는 저콜레스테롤 식이를 시작해야 하고, 치료중에도 이를 지속하여야 한다.통상의 개시용량은 10㎎, 20㎎ 혹은 40㎎ 단일 용량으로 1일 1회이다.환자의 반응에 따라 최대 40㎎까지 증량할 수 있다.유지용량은 1일 1회 10∼40㎎이다.1) 심근경색 또는 불안정성 협심증의 병력이 있는 환자에서  심근경색, 심혈관재관류술의 필요성, 허혈성 뇌졸중, 일과성 허혈발작 질환의 위험성 감소 라는 치료 목표는 40㎎/day의 프라바스타틴 나트륨으로 이룰 수 있다. 더 낮은 용량의 효과는 연구되지 않았다.2) 사이클로스포린과 같은 면역억제제를 투여받고 있는 환자 : 초회 용량은 5∼10mg이며 증량시 매우 주의한다. 1일 최대량은 20mg이다. 다만, 신장이식환자의 경우는 1일 10mg을 초과해서는 안된다. ",  DUR성분(성분1/성분2.. 병용성분 )프라바스타틴  
18,"  종근당세포탁심주0.5그램/수출명:세파크론주0.5그램,세포포르트주0.5그램(세포탁심나트륨)  ",  (주)종근당  ,19930106,   세포탁심나트륨  ,"  포도구균, 연쇄구균(장내구균 제외), 폐렴연쇄구균, 나이세리아, 인플루엔자균, 대장균, 시트로박터, 살모넬라, 클레브시엘라, 엔테로박터, 세라티아, 프로테우스, 예르시니아 엔테로콜리티카균, 클로스트리듐, 박테로이드, 스트렙토콕쿠스 파이칼리스, 녹농균  ","   성인 및 13세 이상의 소아 : 세포탁심으로서 감염형태에 따라 다음과 같이 정맥 또는 근육주사 한다. 감염의 형태  1회 용량 (g)  투여간격(시간)  1일 용량(g)  투여경로  감수성이 높은 단일 감염  1  12  2  정맥 또는 근육  감수성이 높거나 중등도 및 중증 복합감염  1～2  8  3～6  정맥 또는 근육  고용량을 필요로 하는 감염 (패혈증 등)  2  6～8  6～8  정맥  생명에 위험을 초래할 수 있는 불확실한 감염  2  4  12  정맥 임질 : 1g(역가)을 단 1회 근육주사 한다. 감수성이 낮은 세균에 대해서 투여량을 증가할 수 있다. 환자는 치료 전 매독감염 검사를 해야 한다. 유아 및 12세 이하의 소아 : 일반적으로 감염정도에 따라 1일 체중 Kg당 50～100mg(역가)을 6～12시간 간격으로 분할 정맥주사 한다. 생명에 위험이 있는 감염상태의 경우 1일 체중 Kg당 150～200mg(역가)까지 투여할 수 있다. 미숙아 : 신청소율이 완전히 발달되어 있지 않으므로 1일 체중 Kg당 50mg(역가)를 넘지 않도록 한다. 신장애 환자 : 크레아티닌청소율이 5mL/min이하인 경우에 한하여 유지량은 상용량의 1/2으로 줄여 투여한다. 초회량은 감수성, 감염정도에 따라 정한다.연령, 증상에 따라 적절히 증감한다.<투여법>1. 정맥주사 : 0.5g(역가)은 10mL, 1.0g(역가)은 10mL의 주사용수에 녹여 3～5분간에 걸쳐서 투여한다. 점적 정맥주사(고용량 투여 시)시는 2g(역가)을 생리식염주사액 또는 5% 포도당 주사액 100mL에 녹여 50～60분간에 걸쳐서 투여하며, 단시간 내 점적 정맥주사의 경우에는 주사용수 또는 위의 용액 40mL에 녹여 약 20분간에 걸쳐서 투여한다. 어떠한 경우에도 중탄산나트륨용액을 혼합해서는 안 된다.2. 근육주사 : 0.5g(역가)의 경우 2mL, 1.0g(역가)의 경우 4mL의 주사용수에 녹여 둔부 깊숙이 주사하며, 둔부 어느 한쪽에 성인의 경우 4mL, 유ㆍ소아의 경우 2mL보다 많은 양을 주사하는 것은 바람직하지 못하다. 1일 용량이 성인의 경우 2g(역가) 유ㆍ소아의 경우 체중 Kg당 100mg(역가)을 초과하거나, 1회 1g(역가)을 1일 2회 이상 주사하는 경우에는 정맥주사 하는 것이 바람직하다. 성인 및 12세 이상의 소아의 경우 근육주사 시 통증을 피하기 위하여 1% 리도카인 용액 1g(역가)의 경우 4mL 에 녹여 사용할 수 있으나, 이 액을 혈관 내 주사로는 절대 사용하지 않는다.  ",  밀봉용기에 넣어 실온에 보관  
19,"  종근당세포탁심주2그램(세포탁심나트륨)(수출명: 세파크론주2그램, 세포포르트주2그램)  ",  (주)종근당  ,19930106,   세포탁심나트륨  ,"  포도구균, 연쇄구균(장내구균 제외), 폐렴연쇄구균, 나이세리아, 인플루엔자균, 대장균, 시트로박터, 살모넬라, 클레브시엘라, 엔테로박터, 세라티아, 프로테우스, 예르시니아 엔테로콜리티카균, 클로스트리듐, 박테로이드, 스트렙토콕쿠스 파이칼리스, 녹농균  ","   성인 및 13세 이상의 소아 : 세포탁심으로서 감염형태에 따라 다음과 같이 정맥 또는 근육주사 한다. 감염의 형태  1회 용량 (g)  투여간격(시간)  1일 용량(g)  투여경로  감수성이 높은 단일 감염  1  12  2  정맥 또는 근육  감수성이 높거나 중등도 및 중증 복합감염  1～2  8  3～6  정맥 또는 근육  고용량을 필요로 하는 감염 (패혈증 등)  2  6～8  6～8  정맥  생명에 위험을 초래할 수 있는 불확실한 감염  2  4  12  정맥 임질 : 1g(역가)을 단 1회 근육주사 한다. 감수성이 낮은 세균에 대해서 투여량을 증가할 수 있다. 환자는 치료 전 매독감염 검사를 해야 한다. 유아 및 12세 이하의 소아 : 일반적으로 감염정도에 따라 1일 체중 Kg당 50～100mg(역가)을 6～12시간 간격으로 분할 정맥주사 한다. 생명에 위험이 있는 감염상태의 경우 1일 체중 Kg당 150～200mg(역가)까지 투여할 수 있다. 미숙아 : 신청소율이 완전히 발달되어 있지 않으므로 1일 체중 Kg당 50mg(역가)를 넘지 않도록 한다. 신장애 환자 : 크레아티닌청소율이 5mL/min이하인 경우에 한하여 유지량은 상용량의 1/2으로 줄여 투여한다. 초회량은 감수성, 감염정도에 따라 정한다.연령, 증상에 따라 적절히 증감한다.<투여법>1. 정맥주사 : 0.5g(역가)은 10mL, 1.0g(역가)은 10mL의 주사용수에 녹여 3～5분간에 걸쳐서 투여한다. 점적 정맥주사(고용량 투여 시)시는 2g(역가)을 생리식염주사액 또는 5% 포도당 주사액 100mL에 녹여 50～60분간에 걸쳐서 투여하며, 단시간 내 점적 정맥주사의 경우에는 주사용수 또는 위의 용액 40mL에 녹여 약 20분간에 걸쳐서 투여한다. 어떠한 경우에도 중탄산나트륨용액을 혼합해서는 안 된다.2. 근육주사 : 0.5g(역가)의 경우 2mL, 1.0g(역가)의 경우 4mL의 주사용수에 녹여 둔부 깊숙이 주사하며, 둔부 어느 한쪽에 성인의 경우 4mL, 유ㆍ소아의 경우 2mL보다 많은 양을 주사하는 것은 바람직하지 못하다. 1일 용량이 성인의 경우 2g(역가) 유ㆍ소아의 경우 체중 Kg당 100mg(역가)을 초과하거나, 1회 1g(역가)을 1일 2회 이상 주사하는 경우에는 정맥주사 하는 것이 바람직하다. 성인 및 12세 이상의 소아의 경우 근육주사 시 통증을 피하기 위하여 1% 리도카인 용액 1g(역가)의 경우 4mL 에 녹여 사용할 수 있으나, 이 액을 혈관 내 주사로는 절대 사용하지 않는다.  ",  밀봉용기에 넣어 실온에 보관   
